iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737302709.8898747,1737303130.401437,1737302709.9364276,1737302710.0525951,1737302710.0740445,1737302710.279309,1737302710.2829359,1737302710.2830412
1737303323.779617,1737303414.5725234,1737303323.7920983,1737303323.911613,1737303323.9299493,1737303324.5016952,1737303324.5062861,1737303324.5063596
1737303477.7467537,1737303478.1341326,1737303477.7792873,1737303477.9065967,1737303477.923047,1737303478.1135428,1737303478.1167836,1737303478.116859
