iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737554272.5616922,1737554273.3922076,1737554272.7009852,1737554272.8141267,1737554272.8310096,1737554273.367685,1737554273.37048,1737554273.370582
1737554272.5616922,1737554273.4400861,1737554272.7009852,1737554272.8141267,1737554272.8310096,1737554273.367685,1737554273.37048,1737554273.370582
1737555019.8427851,1737555020.4023993,1737555019.8645096,1737555019.9850543,1737555020.0034413,1737555020.299229,1737555020.3022473,1737555020.302318
1737555019.8427851,1737555020.5997891,1737555019.8645096,1737555019.9850543,1737555020.0034413,1737555020.299229,1737555020.3022473,1737555020.302318
1737555085.8450296,1737555086.1035776,1737555085.866221,1737555085.9824622,1737555085.9990673,1737555086.0871723,1737555086.091051,1737555086.0911276
