iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737561959.3547888,1737561971.6481228,1737561970.834495,1737561971.01845,1737561971.0407836,1737561971.6258755,1737561971.6287785,1737561971.6288483
1737561959.3547888,1737561971.6958172,1737561970.834495,1737561971.01845,1737561971.0407836,1737561971.6258755,1737561971.6287785,1737561971.6288483
1737561958.9475641,1737561982.1063614,1737561981.415314,1737561981.5364356,1737561981.5490448,1737561982.0639722,1737561982.0670397,1737561982.067117
1737561958.9475641,1737561982.1835663,1737561981.415314,1737561981.5364356,1737561981.5490448,1737561982.0639722,1737561982.0670397,1737561982.067117
1737561958.5246139,1737561985.8644943,1737561985.52897,1737561985.6454196,1737561985.6635172,1737561985.8401458,1737561985.8429844,1737561985.8430474
1737561958.5246139,1737561985.9149435,1737561985.52897,1737561985.6454196,1737561985.6635172,1737561985.8401458,1737561985.8429844,1737561985.8430474
1737561958.5246139,1737561985.9989235,1737561985.52897,1737561985.6454196,1737561985.6635172,1737561985.8401458,1737561985.8429844,1737561985.8430474
1737561958.5246139,1737561986.0429215,1737561985.52897,1737561985.6454196,1737561985.6635172,1737561985.8401458,1737561985.8429844,1737561985.8430474
