iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737562001.4376595,1737562072.481274,1737562070.8566651,1737562071.8870249,1737562071.8970191,1737562072.4537344,1737562072.4572635,1737562072.4573634
1737562001.4376595,1737562072.7806883,1737562070.8566651,1737562071.8870249,1737562071.8970191,1737562072.4537344,1737562072.4572635,1737562072.4573634
1737562004.8110812,1737562073.7346408,1737562072.968862,1737562073.6205688,1737562073.6347818,1737562073.7086027,1737562073.7125773,1737562073.7126575
1737562004.8110812,1737562073.7921665,1737562072.968862,1737562073.6205688,1737562073.6347818,1737562073.7086027,1737562073.7125773,1737562073.7126575
1737562004.8110812,1737562073.8557878,1737562072.968862,1737562073.6205688,1737562073.6347818,1737562073.7086027,1737562073.7125773,1737562073.7126575
1737562004.8110812,1737562074.0544178,1737562072.968862,1737562073.5054884,1737562073.5244792,1737562074.0297596,1737562074.0329056,1737562074.0329776
1737562004.8110812,1737562074.1430814,1737562072.968862,1737562073.5054884,1737562073.5244792,1737562074.0297596,1737562074.0329056,1737562074.0329776
1737562004.8110812,1737562074.178683,1737562072.968862,1737562073.5054884,1737562073.5244792,1737562074.0297596,1737562074.0329056,1737562074.0329776
1737562004.8110812,1737562074.212967,1737562072.968862,1737562073.5054884,1737562073.5244792,1737562074.0297596,1737562074.0329056,1737562074.0329776
1737562004.8110812,1737562074.3742452,1737562072.968862,1737562073.7202408,1737562073.738896,1737562074.3144863,1737562074.317443,1737562074.317495
1737562004.8110812,1737562074.4115098,1737562072.968862,1737562073.7202408,1737562073.738896,1737562074.3144863,1737562074.317443,1737562074.317495
1737562004.8110812,1737562074.4807742,1737562072.968862,1737562073.7202408,1737562073.738896,1737562074.3144863,1737562074.317443,1737562074.317495
1737562001.5580685,1737562074.583344,1737562073.3558788,1737562074.4037735,1737562074.422109,1737562074.551173,1737562074.554542,1737562074.554617
1737562001.5580685,1737562074.6484275,1737562073.3558788,1737562074.4037735,1737562074.422109,1737562074.551173,1737562074.554542,1737562074.554617
1737562007.6412086,1737562075.4603622,1737562073.7223225,1737562074.8207908,1737562074.830977,1737562075.4368165,1737562075.4397285,1737562075.43989
1737562007.6412086,1737562075.527606,1737562073.7223225,1737562074.8207908,1737562074.830977,1737562075.4368165,1737562075.4397285,1737562075.43989
1737562007.6412086,1737562075.5983925,1737562073.7223225,1737562074.8207908,1737562074.830977,1737562075.4368165,1737562075.4397285,1737562075.43989
1737562007.6412086,1737562075.6246383,1737562073.7223225,1737562074.8207908,1737562074.830977,1737562075.4368165,1737562075.4397285,1737562075.43989
1737562007.6412086,1737562075.6813748,1737562073.7223225,1737562074.8207908,1737562074.830977,1737562075.4368165,1737562075.4397285,1737562075.43989
1737562003.938331,1737562079.3891034,1737562079.0395596,1737562079.2495928,1737562079.2611396,1737562079.3477678,1737562079.3508482,1737562079.3509574
1737562004.2977111,1737562081.46219,1737562080.435825,1737562081.0759685,1737562081.089071,1737562081.3529532,1737562081.3557453,1737562081.3558161
1737562008.83165,1737562081.8142288,1737562081.4289773,1737562081.68226,1737562081.6949782,1737562081.781643,1737562081.7855148,1737562081.785589
1737562009.7833002,1737562085.5948179,1737562083.6808653,1737562085.4590952,1737562085.4767087,1737562085.5580616,1737562085.561471,1737562085.561527
1737562009.7833002,1737562085.621815,1737562083.6808653,1737562085.4590952,1737562085.4767087,1737562085.5580616,1737562085.561471,1737562085.561527
1737562011.9630084,1737562085.9014742,1737562085.6723576,1737562085.795435,1737562085.8072133,1737562085.8796213,1737562085.8826847,1737562085.8827596
1737562011.9630084,1737562086.120855,1737562085.6723576,1737562085.795435,1737562085.8072133,1737562085.8796213,1737562085.8826847,1737562085.8827596
1737562011.9630084,1737562086.3874786,1737562085.6723576,1737562085.7928717,1737562085.8111231,1737562086.3688235,1737562086.371711,1737562086.3717875
1737562011.9630084,1737562086.4031734,1737562085.6723576,1737562085.7928717,1737562085.8111231,1737562086.3688235,1737562086.371711,1737562086.3717875
1737562005.8878849,1737562087.3686254,1737562086.8986652,1737562087.2358577,1737562087.2556803,1737562087.344133,1737562087.3472402,1737562087.3473158
1737562005.8878849,1737562087.4196851,1737562086.8986652,1737562087.2358577,1737562087.2556803,1737562087.344133,1737562087.3472402,1737562087.3473158
1737562011.9630084,1737562091.3088698,1737562085.6723576,1737562086.0115976,1737562090.706865,1737562091.2875664,1737562091.2905066,1737562091.290634
1737562007.5109818,1737562091.8367867,1737562091.6140347,1737562091.7277253,1737562091.739423,1737562091.8116388,1737562091.8148887,1737562091.8150125
1737562007.5109818,1737562091.8742986,1737562091.6140347,1737562091.7277253,1737562091.739423,1737562091.8116388,1737562091.8148887,1737562091.8150125
1737562008.9551132,1737562092.3516185,1737562091.7920077,1737562091.917447,1737562091.9309163,1737562092.326946,1737562092.331046,1737562092.3311288
1737562008.9551132,1737562092.3786378,1737562091.7920077,1737562091.917447,1737562091.9309163,1737562092.326946,1737562092.331046,1737562092.3311288
1737562004.1788542,1737562095.78314,1737562095.0720081,1737562095.1941335,1737562095.2124224,1737562095.7562177,1737562095.7601452,1737562095.7602367
1737562005.1848009,1737562095.8187456,1737562095.5099313,1737562095.623343,1737562095.634942,1737562095.7795658,1737562095.7829914,1737562095.783051
1737562005.1848009,1737562095.8559659,1737562095.5099313,1737562095.7365901,1737562095.7560203,1737562095.831829,1737562095.834282,1737562095.8343554
1737562005.1848009,1737562095.906836,1737562095.5099313,1737562095.623343,1737562095.634942,1737562095.7795658,1737562095.7829914,1737562095.783051
1737562008.5864067,1737562098.2079654,1737562097.5007143,1737562098.035801,1737562098.049782,1737562098.1864545,1737562098.1889095,1737562098.1889923
1737562008.5864067,1737562098.2464795,1737562097.5007143,1737562098.035801,1737562098.049782,1737562098.1864545,1737562098.1889095,1737562098.1889923
1737562011.2063024,1737562099.011379,1737562097.8158615,1737562098.4381902,1737562098.4561207,1737562098.9790018,1737562098.9819214,1737562098.9820027
1737562011.2063024,1737562099.0556042,1737562097.8158615,1737562098.4381902,1737562098.4561207,1737562098.9790018,1737562098.9819214,1737562098.9820027
1737562010.5737755,1737562100.933346,1737562100.2561815,1737562100.377866,1737562100.389272,1737562100.8973832,1737562100.9000728,1737562100.9001513
1737562010.5737755,1737562100.979366,1737562100.2561815,1737562100.377866,1737562100.389272,1737562100.8973832,1737562100.9000728,1737562100.9001513
1737562004.4431868,1737562101.6216812,1737562100.944725,1737562101.0610857,1737562101.0814152,1737562101.5988045,1737562101.601744,1737562101.6018226
1737562004.4431868,1737562101.655169,1737562100.944725,1737562101.0610857,1737562101.0814152,1737562101.5988045,1737562101.601744,1737562101.6018226
1737562004.4431868,1737562101.6954098,1737562100.944725,1737562101.0610857,1737562101.0814152,1737562101.5988045,1737562101.601744,1737562101.6018226
1737562009.2053676,1737562101.7426023,1737562100.3911805,1737562101.6352866,1737562101.6497877,1737562101.7210126,1737562101.7247593,1737562101.7248914
1737562011.0732603,1737562102.8148718,1737562102.3095555,1737562102.5893023,1737562102.6051538,1737562102.7898736,1737562102.7929099,1737562102.7929935
1737562010.1790695,1737562104.7454019,1737562102.3293753,1737562104.599248,1737562104.6216605,1737562104.7026575,1737562104.7059712,1737562104.7060246
1737562010.1790695,1737562104.7942955,1737562102.3293753,1737562104.599248,1737562104.6216605,1737562104.7026575,1737562104.7059712,1737562104.7060246
1737562010.1790695,1737562104.8395033,1737562102.3293753,1737562104.599248,1737562104.6216605,1737562104.7026575,1737562104.7059712,1737562104.7060246
1737562007.123951,1737562105.5416484,1737562104.5641642,1737562105.4374871,1737562105.4506826,1737562105.5119877,1737562105.5152342,1737562105.5153039
1737562007.123951,1737562105.5705066,1737562104.5641642,1737562105.4374871,1737562105.4506826,1737562105.5119877,1737562105.5152342,1737562105.5153039
1737562007.123951,1737562105.6075842,1737562104.5641642,1737562105.4374871,1737562105.4506826,1737562105.5119877,1737562105.5152342,1737562105.5153039
1737562007.123951,1737562105.6397147,1737562104.5641642,1737562105.4374871,1737562105.4506826,1737562105.5119877,1737562105.5152342,1737562105.5153039
1737562007.123951,1737562105.6744943,1737562104.5641642,1737562105.4374871,1737562105.4506826,1737562105.5119877,1737562105.5152342,1737562105.5153039
1737562005.0643399,1737562107.1314251,1737562106.6804407,1737562106.7986276,1737562106.8109188,1737562107.1057487,1737562107.108689,1737562107.108743
1737562005.0643399,1737562107.2837102,1737562106.6804407,1737562106.7986276,1737562106.8109188,1737562107.1057487,1737562107.108689,1737562107.108743
1737562005.0643399,1737562107.2997112,1737562106.6804407,1737562106.7986276,1737562106.8109188,1737562107.1057487,1737562107.108689,1737562107.108743
1737562005.7491996,1737562107.7957833,1737562106.9365644,1737562107.6709595,1737562107.6805356,1737562107.772286,1737562107.776042,1737562107.7761233
1737562005.7491996,1737562107.834627,1737562106.9365644,1737562107.6709595,1737562107.6805356,1737562107.772286,1737562107.776042,1737562107.7761233
1737562008.7092931,1737562107.9530897,1737562107.2024543,1737562107.8402328,1737562107.8522117,1737562107.9247742,1737562107.9281635,1737562107.928245
1737562008.7092931,1737562107.9798195,1737562107.2024543,1737562107.8402328,1737562107.8522117,1737562107.9247742,1737562107.9281635,1737562107.928245
1737562011.7116978,1737562110.128313,1737562108.9864707,1737562110.0088966,1737562110.0228083,1737562110.1030424,1737562110.1062102,1737562110.1063435
1737562011.455089,1737562112.6030753,1737562111.751528,1737562112.4756281,1737562112.485377,1737562112.5795178,1737562112.5824733,1737562112.5826025
1737562007.9110212,1737562112.687458,1737562109.9726365,1737562111.2741313,1737562111.2851608,1737562112.653935,1737562112.656511,1737562112.656613
1737562007.9110212,1737562112.7091067,1737562109.9726365,1737562111.2741313,1737562111.2851608,1737562112.653935,1737562112.656511,1737562112.656613
1737562004.6878965,1737562112.8094316,1737562111.6912675,1737562112.692287,1737562112.701331,1737562112.780051,1737562112.782569,1737562112.782616
