iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737561951.9770033,1737561958.8322592,1737561958.304045,1737561958.4220393,1737561958.4406152,1737561958.7773075,1737561958.7803264,1737561958.7804027
1737561951.9770033,1737561958.8939688,1737561958.304045,1737561958.4220393,1737561958.4406152,1737561958.7773075,1737561958.7803264,1737561958.7804027
1737561951.9770033,1737561958.9449966,1737561958.304045,1737561958.4220393,1737561958.4406152,1737561958.7773075,1737561958.7803264,1737561958.7804027
1737561974.37518,1737562023.4900508,1737562021.5778227,1737562022.8982475,1737562022.9145083,1737562023.4489408,1737562023.4516356,1737562023.451687
1737561980.7356546,1737562027.2994406,1737562025.855394,1737562027.1661077,1737562027.1801965,1737562027.268202,1737562027.2717538,1737562027.2718308
1737561980.7356546,1737562027.4033508,1737562025.855394,1737562027.1661077,1737562027.1801965,1737562027.268202,1737562027.2717538,1737562027.2718308
1737561980.7356546,1737562027.4358313,1737562025.855394,1737562027.1661077,1737562027.1801965,1737562027.268202,1737562027.2717538,1737562027.2718308
1737561980.7356546,1737562027.4653542,1737562025.855394,1737562027.1661077,1737562027.1801965,1737562027.268202,1737562027.2717538,1737562027.2718308
1737561989.4608464,1737562057.3074815,1737562056.6554425,1737562056.77594,1737562056.7898786,1737562057.2831979,1737562057.286651,1737562057.2867281
1737561989.3370085,1737562063.206643,1737562062.5376558,1737562062.657006,1737562062.6680963,1737562063.1848161,1737562063.1884115,1737562063.1884973
1737562050.8597043,1737562192.9858913,1737562192.5628748,1737562192.7919152,1737562192.8099434,1737562192.876213,1737562192.8794298,1737562192.8795345
1737562050.8597043,1737562193.108822,1737562192.5628748,1737562192.7919152,1737562192.8099434,1737562192.876213,1737562192.8794298,1737562192.8795345
1737562051.0118406,1737562193.536026,1737562193.2982647,1737562193.4213386,1737562193.4319286,1737562193.5098593,1737562193.512467,1737562193.5125577
1737562051.0118406,1737562193.5605443,1737562193.2982647,1737562193.4213386,1737562193.4319286,1737562193.5098593,1737562193.512467,1737562193.5125577
1737562051.0118406,1737562193.5873234,1737562193.2982647,1737562193.4213386,1737562193.4319286,1737562193.5098593,1737562193.512467,1737562193.5125577
1737562051.1804464,1737562215.8039665,1737562215.088296,1737562215.2046893,1737562215.215947,1737562215.7698188,1737562215.773279,1737562215.7733405
1737562051.1804464,1737562215.8198674,1737562215.088296,1737562215.2046893,1737562215.215947,1737562215.7698188,1737562215.773279,1737562215.7733405
1737562061.597604,1737562225.4638617,1737562224.710354,1737562224.8352804,1737562224.8481095,1737562225.3606122,1737562225.3632233,1737562225.3632734
1737562061.597604,1737562225.5087895,1737562224.710354,1737562224.8352804,1737562224.8481095,1737562225.3606122,1737562225.3632233,1737562225.3632734
1737562061.597604,1737562225.5389717,1737562224.710354,1737562224.8352804,1737562224.8481095,1737562225.3606122,1737562225.3632233,1737562225.3632734
1737562061.8278973,1737562229.2513008,1737562228.5283687,1737562228.6540117,1737562228.6810803,1737562229.225174,1737562229.2280297,1737562229.2280846
1737562061.8278973,1737562229.3059855,1737562228.5283687,1737562228.6540117,1737562228.6810803,1737562229.225174,1737562229.2280297,1737562229.2280846
