iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737560669.5139987,1737560672.279595,1737560671.8235312,1737560672.0880976,1737560672.1014087,1737560672.1710129,1737560672.17436,1737560672.174485
1737560669.5139987,1737560672.3696856,1737560671.8235312,1737560672.0880976,1737560672.1014087,1737560672.1710129,1737560672.17436,1737560672.174485
1737560670.39133,1737560673.08109,1737560672.2380674,1737560672.5064256,1737560672.531983,1737560673.0581775,1737560673.061208,1737560673.0613153
1737560847.5235775,1737560857.5660353,1737560857.295854,1737560857.4164197,1737560857.4340346,1737560857.5341513,1737560857.538565,1737560857.5388405
1737560847.2109108,1737560859.9792063,1737560859.7271187,1737560859.8482656,1737560859.8601904,1737560859.9509234,1737560859.9545074,1737560859.9549038
1737560847.2109108,1737560860.0423357,1737560859.7271187,1737560859.8482656,1737560859.8601904,1737560859.9509234,1737560859.9545074,1737560859.9549038
