iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737560725.1785913,1737560746.4840975,1737560745.7098258,1737560745.936107,1737560745.9461286,1737560746.4600027,1737560746.4633572,1737560746.4634404
1737560725.1785913,1737560746.7728918,1737560745.7098258,1737560745.936107,1737560745.9461286,1737560746.4600027,1737560746.4633572,1737560746.4634404
1737560759.2523544,1737560762.1557527,1737560761.4231625,1737560761.5505104,1737560761.5628102,1737560762.128388,1737560762.1343532,1737560762.1344066
1737560759.2523544,1737560762.3649762,1737560761.4231625,1737560761.5505104,1737560761.5628102,1737560762.128388,1737560762.1343532,1737560762.1344066
1737560787.6244833,1737560822.1410935,1737560821.1989987,1737560821.3142428,1737560821.325549,1737560822.1136491,1737560822.1163495,1737560822.1164136
1737560787.6244833,1737560822.1771224,1737560821.1989987,1737560821.3142428,1737560821.325549,1737560822.1136491,1737560822.1163495,1737560822.1164136
