iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737558895.2981555,1737558895.5755553,1737558895.331426,1737558895.4511945,1737558895.471638,1737558895.5481448,1737558895.5512137,1737558895.5513072
1737558904.9998572,1737558905.9071472,1737558905.1809928,1737558905.3094006,1737558905.3200297,1737558905.8808668,1737558905.8845985,1737558905.8846815
1737558904.9998572,1737558906.0079114,1737558905.1809928,1737558905.3094006,1737558905.3200297,1737558905.8808668,1737558905.8845985,1737558905.8846815
1737558904.9998572,1737558906.0424535,1737558905.1809928,1737558905.3094006,1737558905.3200297,1737558905.8808668,1737558905.8845985,1737558905.8846815
1737558904.9998572,1737558906.084128,1737558905.1809928,1737558905.3094006,1737558905.3200297,1737558905.8808668,1737558905.8845985,1737558905.8846815
1737559351.8909798,1737559352.2313373,1737559351.925893,1737559352.0504532,1737559352.062699,1737559352.1316955,1737559352.1344864,1737559352.1345608
1737559351.8909798,1737559352.3277268,1737559351.925893,1737559352.0504532,1737559352.062699,1737559352.1316955,1737559352.1344864,1737559352.1345608
