iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737558849.1608503,1737558849.6797316,1737558849.2342925,1737558849.3499346,1737558849.359447,1737558849.6511772,1737558849.6586537,1737558849.6586962
1737558849.1608503,1737558849.753049,1737558849.2342925,1737558849.3499346,1737558849.359447,1737558849.6511772,1737558849.6586537,1737558849.6586962
1737558849.1608503,1737558849.7795005,1737558849.2342925,1737558849.3499346,1737558849.359447,1737558849.6511772,1737558849.6586537,1737558849.6586962
1737558851.8822334,1737558852.5764766,1737558851.9031663,1737558852.4366407,1737558852.4585073,1737558852.545841,1737558852.5494268,1737558852.5495608
1737558851.8822334,1737558852.6190584,1737558851.9031663,1737558852.4366407,1737558852.4585073,1737558852.545841,1737558852.5494268,1737558852.5495608
1737558852.41422,1737558853.623017,1737558852.432804,1737558852.8783941,1737558852.8891404,1737558853.5957773,1737558853.5988564,1737558853.5989926
1737558852.41422,1737558853.6476517,1737558852.432804,1737558852.8783941,1737558852.8891404,1737558853.5957773,1737558853.5988564,1737558853.5989926
1737558855.0734837,1737558855.3339734,1737558855.0940018,1737558855.2206323,1737558855.2383683,1737558855.3081768,1737558855.311526,1737558855.3115659
1737558855.0734837,1737558855.3788218,1737558855.0940018,1737558855.2206323,1737558855.2383683,1737558855.3081768,1737558855.311526,1737558855.3115659
1737558855.606986,1737558855.8626497,1737558855.6262658,1737558855.742365,1737558855.7547643,1737558855.8372676,1737558855.8401804,1737558855.8402598
1737558855.606986,1737558855.8938937,1737558855.6262658,1737558855.742365,1737558855.7547643,1737558855.8372676,1737558855.8401804,1737558855.8402598
1737558856.6688218,1737558857.1384428,1737558856.6882553,1737558856.9637787,1737558856.9819462,1737558857.1175146,1737558857.12094,1737558857.1210625
1737558856.1384435,1737558857.2747762,1737558856.1567142,1737558856.6629808,1737558856.6747484,1737558857.1889694,1737558857.1923492,1737558857.1924243
1737558857.7351065,1737558857.9901063,1737558857.7567337,1737558857.8709524,1737558857.8845842,1737558857.9667187,1737558857.9698853,1737558857.9699636
1737558858.270129,1737558858.7766476,1737558858.3055513,1737558858.6517103,1737558858.6617825,1737558858.7525852,1737558858.7558992,1737558858.7562525
1737558858.270129,1737558858.817455,1737558858.3055513,1737558858.6517103,1737558858.6617825,1737558858.7525852,1737558858.7558992,1737558858.7562525
1737558858.83076,1737558859.131884,1737558858.8636742,1737558858.9795823,1737558859.001934,1737558859.073778,1737558859.080108,1737558859.080217
1737558858.83076,1737558859.1667047,1737558858.8636742,1737558858.9795823,1737558859.001934,1737558859.073778,1737558859.080108,1737558859.080217
1737558859.3641243,1737558859.6713228,1737558859.384407,1737558859.4957047,1737558859.5138478,1737558859.614385,1737558859.6178613,1737558859.61793
1737558859.3641243,1737558859.851121,1737558859.384407,1737558859.4957047,1737558859.5138478,1737558859.614385,1737558859.6178613,1737558859.61793
1737558859.3641243,1737558859.9280589,1737558859.384407,1737558859.4957047,1737558859.5138478,1737558859.614385,1737558859.6178613,1737558859.61793
1737558859.3641243,1737558859.9808028,1737558859.384407,1737558859.4957047,1737558859.5138478,1737558859.614385,1737558859.6178613,1737558859.61793
1737558860.0135295,1737558861.0329888,1737558860.0529573,1737558860.4315872,1737558860.4404864,1737558861.0118747,1737558861.0151334,1737558861.0152118
1737559367.4545774,1737559368.393409,1737559367.7096353,1737559367.8325024,1737559367.8467417,1737559368.3683589,1737559368.3713164,1737559368.371384
1737559368.1373506,1737559368.5731926,1737559368.3096948,1737559368.4338036,1737559368.4485722,1737559368.5519323,1737559368.5551033,1737559368.5551665
1737559368.1373506,1737559368.6099408,1737559368.3096948,1737559368.4338036,1737559368.4485722,1737559368.5519323,1737559368.5551033,1737559368.5551665
1737559368.1373506,1737559368.6324635,1737559368.3096948,1737559368.4338036,1737559368.4485722,1737559368.5519323,1737559368.5551033,1737559368.5551665
1737559368.8059123,1737559369.782147,1737559368.9648125,1737559369.0863805,1737559369.107274,1737559369.6989388,1737559369.70236,1737559369.7024348
1737559371.219473,1737559371.4990752,1737559371.247638,1737559371.367033,1737559371.3850222,1737559371.4677153,1737559371.471946,1737559371.4720254
1737559371.219473,1737559371.530761,1737559371.247638,1737559371.367033,1737559371.3850222,1737559371.4677153,1737559371.471946,1737559371.4720254
1737559371.219473,1737559371.56678,1737559371.247638,1737559371.367033,1737559371.3850222,1737559371.4677153,1737559371.471946,1737559371.4720254
