iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737558804.7658353,1737558805.0728514,1737558804.8233669,1737558804.9396656,1737558804.964086,1737558805.0428176,1737558805.0460725,1737558805.0461514
1737558970.0881696,1737558970.4643717,1737558970.16071,1737558970.2788913,1737558970.2939513,1737558970.3671267,1737558970.3703277,1737558970.370385
1737558970.0881696,1737558970.5913045,1737558970.16071,1737558970.2788913,1737558970.2939513,1737558970.3671267,1737558970.3703277,1737558970.370385
1737558970.0881696,1737558970.612871,1737558970.16071,1737558970.2788913,1737558970.2939513,1737558970.3671267,1737558970.3703277,1737558970.370385
1737559102.8858986,1737559103.181194,1737559102.9283917,1737559103.0551586,1737559103.0694902,1737559103.146617,1737559103.1493235,1737559103.1493986
